year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2015,63,67,Extra Special Bitter,The Guilty Party,Gibb’s Hundred Brewing Co.,Greensboro,NC,14° ESB,Bent Paddle Brewing Co.,Duluth,MN,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ
2015,64,52,Scottish-Style Ale,Copper John Scotch Ale,Madison River Brewing Co.,Belgrade,MT,Cold Smoke,KettleHouse Brewing Co.,Missoula,MT,Barrio Rojo,Barrio Brewing Co.,Tucson,AZ
2015,65,70,Irish-Style Red Ale,TAPS Irish Red,TAPS Fish House & Brewery - Corona,Corona,CA,Johnny Blood Red,Titletown Brewing Co.,Green Bay,WI,Hooligan’s Irish Red Ale,Montana Brewing Co.,Billings,MT
2015,66,72,English-Style Brown Ale,Red Hydrant Ale,Big Dog’s Brewing Co.,Las Vegas,NV,No Name,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Rogue River Brown,Rockford Brewing Co. - Rockford,Rockford,MI
2015,67,85,American-Style Brown Ale,1623 Almighty Brown Ale,7th Settlement Brewery,Dover,NH,Rapture Fusion Brown Ale,Rabbit Hole Brewing,Justin,TX,Restraint,Institution Ale Co.,Camarillo,CA
2015,68,54,American-Style Black Ale,Midnight Moonlight,Fat Head’s Brewery - N. Olmstead,North Olmsted,OH,Singularity,Karl Strauss Brewing Co. - Costa Mesa,Costa Mesa,CA,King Ink,Denver Beer Co. - Canworks,Denver,CO
2015,69,111,German-Style Sour Ale,Gose,Reuben’s Brews Taproom,Seattle,WA,Volkssekt,Bend Brewing Co.,Bend,OR,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR
2015,70,49,German-Style Altbier,Copper Alt,Zipline Brewing Co.,Lincoln,NE,Generation Alt,Flix Brewhouse - Indy,Carmel,IN,Altbier,Liquid Mechanics Brewing Co.,Lafayette,CO
2015,71,95,South German-Style Hefeweizen,Weißbier,Prost Brewing,Denver,CO,Wild Wapiti Wheat,Elk Mountain Brewing Co.,Parker,CO,Windansea Wheat,Karl Strauss Brewing Co.,San Diego,CA
2015,72,38,German-Style Wheat Ale,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,Weizenbock,Kansas City Bier Co.,Kansas City,MO,Monkey Business,New Bohemia Brewing Co.,Santa Cruz,CA
2015,73,47,Belgian-Style Blonde Ale or Pale Ale,Bear Hair,Logboat Brewing Co.,Columbia,MO,Bleek Worden,Prison City Brewing,Auburn,NY,Belgian Style Pale Ale,Aardwolf Brewing Co.,Jacksonville,FL
