year,style,medal,beer,brewery,city,state
1999,Smoke Beer,gold,DeGroen's Rauchbock,Baltimore Brewing,Baltimore,MD
1999,Smoke Beer,silver,Georgia Smoke,John Harvard's Brew House,Wayne,PA
1999,Smoke Beer,bronze,Watson's Smoked Porter,Watson Brothers Brewhouse,Cincinnati,OH
2000,German-Style Wheat Ale,gold,Penn Weizen,Pennsylvania Brewing,Pittsburgh,PA
2000,German-Style Wheat Ale,silver,Brewmaster Select Hefeweizen,Station Casinos Breweries / Barley’s Casino & Brewing Company,Henderson,NV
2000,German-Style Wheat Ale,bronze,Double Play Dunkelweizen,Leinenkugel Brewing,Phoenix,AZ
2000,German-Style Brown Ale / Dusseldorf-Style Altbier,gold,Boca Alt,Brewzzi,Boca Raton,FL
2000,German-Style Brown Ale / Dusseldorf-Style Altbier,silver,Alt Who Goes There?,General Lafayette Inn & Brewery,Lafayette Hill,PA
2000,German-Style Brown Ale / Dusseldorf-Style Altbier,bronze,Dornbusch Alt,Dornbusch Brewing Co.,Ipswich,MA
2000,American-Style Amber / Red Ale,gold,Ruedrich's Red Seal Ale,North Coast Brewing,Fort Bragg,CA
2000,American-Style Amber / Red Ale,silver,Shark Bite Red,Pizza Port,Carlsbad,CA
2000,American-Style Amber / Red Ale,bronze,Ragtop Red,Rock Bottom,La Jolla,CA
2000,Other Strong Ale or Lager,gold,Double Ice Bock,Southampton Publick House,Southampton,NY
2000,Other Strong Ale or Lager,silver,Wee Heavy Scotch Ale,Steelhead Brewery,Eugene,OR
2000,Other Strong Ale or Lager,bronze,Thunderhead Schwarzbier,Rio Salado Brewing Company,Tempe,AZ
2000,Specialty Beer,gold,Aztec Amaranth Ale,Bulldog Brewing Co.,Fresno,CA
2000,Specialty Beer,silver,Captain Smith's Rye,Titanic Brewing,Coral Gables,FL
2000,Specialty Beer,bronze,Pullman Brown Ale,Flossmoor Station,Flossmoor,IL
2000,Belgian-Style Ales,gold,Abbey Belgian Style Ale,New Belgium Brewing,Fort Collins,CO
2000,Belgian-Style Ales,silver,Victoria's Triple Belgian,Humboldt Brewery,Arcata,CA
2000,Belgian-Style Ales,bronze,Bridal Veil Ale,BJ's Pizza Grill & Brewery,Brea,CA
2000,English-Style India Pale Ale,gold,Goose Island IPA,Goose Island Beer Co.,Chicago,IL
2000,English-Style India Pale Ale,silver,Hop Daddy IPA,Main Street Brewery,Corona,CA
2000,English-Style India Pale Ale,bronze,Renegade IPA,Buckhead Brewery & Grill,Stockbridge,GA
2000,Experimental Beer,gold,Boscos Juniper Stone Beer,Boscos Brewing,Memphis,TN
2000,Experimental Beer,silver,Cuvee de Tomme,Pizza Port,Solana Beach,CA
2000,Experimental Beer,bronze,Juniper Rye,BJ's Pizza Grill & Brewery,Brea,CA
2000,Foreign-Style Stout,gold,Tsunami Stout,Pelican Pub,Pacific City,OR
2000,Foreign-Style Stout,silver,Moose Juice Stout,Otto Brothers Brewing Co.,Victor,ID
2000,Foreign-Style Stout,bronze,Swollen Delta Stout,Redfish New Orleans Brewhouse,Boulder,CO
2000,Sweet Stout,gold,Black Pearl Stout,Main Street Brewery,Corona,CA
2000,Sweet Stout,silver,Saint Arnold Winter Stout,Saint Arnold Brewing,Houston,TX
2000,Sweet Stout,bronze,Iron Horse Stout,Big River Grille,Chattanooga,TN
2000,Golden Ale / Canadian-Style Ale,gold,Kiwanda Cream Ale,Pelican Pub,Pacific City,OR
2000,Golden Ale / Canadian-Style Ale,silver,Alpine Gold,Tied House Cafe,Mountain View,CA
2000,Golden Ale / Canadian-Style Ale,bronze,Clipper City Chesapeake Gold Ale,Clipper City Brewing,Baltimore,MD
2000,English-Style (Extra Special) Strong Bitter,gold,Alembic Pale,Elliott Bay Brewing,Seattle,WA
2000,English-Style (Extra Special) Strong Bitter,silver,Special Old Bitter,Hyde Park Brewing Co.,Hyde Park,NY
2000,English-Style (Extra Special) Strong Bitter,bronze,Brown's Point Bitter,Harmon Restaurant & Brewery,Tacoma,WA
2000,American-Style Brown Ale,gold,American Brown,C. H. Evans Brewing,Albany,NY
2000,American-Style Brown Ale,silver,Hogans Park Ave. Ale,Custom Brew Crafters,Honeoye Falls,NY
2000,American-Style Brown Ale,bronze,Brooklyn Brown Ale,Brooklyn Brewery,Brooklyn,NY
2000,English Old Ale / English & American Strong Ales,gold,Old Charleywine,Mammoth Brewing,Mammoth,CA
2000,English Old Ale / English & American Strong Ales,silver,Powerhouse Ale,The Powerhouse Brewing Co.,Sebastopol,CA
2000,English Old Ale / English & American Strong Ales,bronze,Old Hand,Colorado Brewery & Trading Co.,Danbury,CT
2000,German-Style Pilsener,gold,Perkiomen Pils,New Road Brew House,Collegeville,PA
2000,German-Style Pilsener,silver,This Is The Pilsner,Hoppers Grill & Brewery,Midvale,UT
2000,German-Style Pilsener,bronze,Blue Paddle Pilsner,New Belgium Brewing,Fort Collins,CO
2000,American Lager,gold,Rainer,G. Heileman Brewing,Fogelsville,PA
2000,American Lager,silver,Miller Genuine Draft,Miller Brewing,Milwaukee,WI
2000,American Lager,bronze,Red Dog,Plank Road Brewery,Milwaukee,WI
2000,Chocolate / Cocoa Flavored Beer,gold,Ghirardelli Square Chocolate Stout,Steelhead Brewery,Burlingame,CA
2000,Chocolate / Cocoa Flavored Beer,silver,Chocolate Stout,Rogue Ales,Newport,OR
2000,Chocolate / Cocoa Flavored Beer,bronze,Jurupa Valley Stout,Jurupa Valley Brewing Co.,Riverside,CA
2000,Belgian- & French-Style Specialty Ales,gold,Cherry Lambic,Commonwealth Brewing,New York,NY
2000,Belgian- & French-Style Specialty Ales,silver,Saison L' Ete,Willoughby Brewing,Willoughby,OH
2000,Belgian- & French-Style Specialty Ales,bronze,La Folie,New Belgium Brewing,Fort Collins,CO
2000,Bohemian-Style Pilsener,gold,,,,
2000,Bohemian-Style Pilsener,silver,Czech Mate Pils,Brew Moon,Needham,MA
2000,Bohemian-Style Pilsener,bronze,Full Sail Pilsner,Full Sail Brewing,Hood River,OR
2000,American-Style Pale Ale,gold,Telemark IPA,Backcountry Brewery,Frisco,CO
2000,American-Style Pale Ale,silver,Mad Hatter Ale,New Holland Brewing,Holland,MI
2000,American-Style Pale Ale,bronze,New River Pale Ale,New River Brewing,Blacksburg,VA
2000,American-Style Premium Lager,gold,Stroh Lager,Stroh Brewery,Fogelsville,PA
2000,American-Style Premium Lager,silver,Schlitz Malt Liquor,Schlitz Brewing,Fogelsville,PA
